"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 01:34:04 GMT 2024","Fri Jul 26 01:34:28 GMT 2024","24031","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 01:38:19 GMT 2024","Fri Jul 26 01:38:21 GMT 2024","1742","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Fri Jul 26 01:33:36 GMT 2024","Fri Jul 26 01:33:38 GMT 2024","1379","chromium","","Navigation","","","test",""
"passed","Fri Jul 26 01:38:58 GMT 2024","Fri Jul 26 01:39:06 GMT 2024","7235","chromium","","Negative tests for Free user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Full Name on Card field","To verify Business user can not register in case of Empty Full Name on Card field."
"failed","Fri Jul 26 01:37:51 GMT 2024","Fri Jul 26 01:38:18 GMT 2024","27298","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N2 | Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input","Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input"
"passed","Fri Jul 26 01:35:02 GMT 2024","Fri Jul 26 01:35:26 GMT 2024","24170","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 01:35:50 GMT 2024","Fri Jul 26 01:36:22 GMT 2024","31643","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No special symbols in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 01:38:28 GMT 2024","Fri Jul 26 01:38:30 GMT 2024","1443","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 01:38:54 GMT 2024","Fri Jul 26 01:38:56 GMT 2024","1732","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 01:38:27 GMT 2024","Fri Jul 26 01:38:28 GMT 2024","1460","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain","Verify non-successful registration of Free user in case of invalid email"
