"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 19:55:22 GMT 2024","Sun Jul 21 19:55:24 GMT 2024","1686","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain",""
"passed","Sun Jul 21 19:55:27 GMT 2024","Sun Jul 21 19:55:34 GMT 2024","6621","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain",""
"passed","Sun Jul 21 19:55:24 GMT 2024","Sun Jul 21 19:55:25 GMT 2024","1639","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain",""
"passed","Sun Jul 21 19:55:14 GMT 2024","Sun Jul 21 19:55:16 GMT 2024","1516","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Sun Jul 21 19:55:34 GMT 2024","Sun Jul 21 19:55:35 GMT 2024","1565","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field",""
"passed","Sun Jul 21 19:55:25 GMT 2024","Sun Jul 21 19:55:27 GMT 2024","1697","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email",""
"passed","Sun Jul 21 19:55:12 GMT 2024","Sun Jul 21 19:55:14 GMT 2024","1942","chromium","","Navigation","","","test",""
"passed","Sun Jul 21 19:55:16 GMT 2024","Sun Jul 21 19:55:22 GMT 2024","6459","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @",""
