"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 19:17:50 GMT 2024","Sun Jul 21 19:17:51 GMT 2024","1275","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email",""
"passed","Sun Jul 21 19:17:42 GMT 2024","Sun Jul 21 19:17:44 GMT 2024","2098","chromium","","Navigation","","","test",""
"passed","Sun Jul 21 19:17:53 GMT 2024","Sun Jul 21 19:17:59 GMT 2024","6350","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field",""
"passed","Sun Jul 21 19:17:44 GMT 2024","Sun Jul 21 19:17:46 GMT 2024","1969","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Sun Jul 21 19:17:49 GMT 2024","Sun Jul 21 19:17:50 GMT 2024","1425","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain",""
"passed","Sun Jul 21 19:17:51 GMT 2024","Sun Jul 21 19:17:53 GMT 2024","1528","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain",""
"passed","Sun Jul 21 19:17:46 GMT 2024","Sun Jul 21 19:17:47 GMT 2024","1573","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @",""
"passed","Sun Jul 21 19:17:47 GMT 2024","Sun Jul 21 19:17:49 GMT 2024","1375","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain",""
