"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 29 23:36:05 GMT 2024","Mon Jul 29 23:36:06 GMT 2024","1311","chromium","","Navigation","","","test",""
"passed","Mon Jul 29 23:35:23 GMT 2024","Mon Jul 29 23:35:24 GMT 2024","1246","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Mon Jul 29 23:37:49 GMT 2024","Mon Jul 29 23:38:13 GMT 2024","24402","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Space in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:38:38 GMT 2024","Mon Jul 29 23:39:05 GMT 2024","27768","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password contains ciryllic symbol","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:35:11 GMT 2024","Mon Jul 29 23:35:19 GMT 2024","8181","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Mon Jul 29 23:37:25 GMT 2024","Mon Jul 29 23:37:49 GMT 2024","23883","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:35:27 GMT 2024","Mon Jul 29 23:35:28 GMT 2024","1210","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Mon Jul 29 23:36:00 GMT 2024","Mon Jul 29 23:36:05 GMT 2024","5123","chromium","","Forms in case of FREE User","","","TC_08_32_01 | Verify Free user can not create form.","To verify that Free user can not create form."
"passed","Mon Jul 29 23:35:26 GMT 2024","Mon Jul 29 23:35:27 GMT 2024","1534","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Mon Jul 29 23:36:31 GMT 2024","Mon Jul 29 23:37:02 GMT 2024","30749","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:36:06 GMT 2024","Mon Jul 29 23:36:31 GMT 2024","24792","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:35:28 GMT 2024","Mon Jul 29 23:35:30 GMT 2024","1440","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Mon Jul 29 23:37:02 GMT 2024","Mon Jul 29 23:37:25 GMT 2024","23673","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password less than 8 characters long","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:35:19 GMT 2024","Mon Jul 29 23:35:21 GMT 2024","2132","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.","To verify non-successful authorization of Business user in case of invalid Email Address and valid Password."
"passed","Mon Jul 29 23:35:41 GMT 2024","Mon Jul 29 23:35:46 GMT 2024","5689","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify Free user can create folder.","To verify Free user can create folder."
"passed","Mon Jul 29 23:35:30 GMT 2024","Mon Jul 29 23:35:41 GMT 2024","10717","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Mon Jul 29 23:35:46 GMT 2024","Mon Jul 29 23:36:00 GMT 2024","13313","chromium","","Folders in case of FREE User","","","TC_06_24_01 | Verify the Free user can delete folder.","To verify Free user can delete the folder."
"passed","Mon Jul 29 23:38:13 GMT 2024","Mon Jul 29 23:38:38 GMT 2024","24040","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No special symbols in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Mon Jul 29 23:35:24 GMT 2024","Mon Jul 29 23:35:26 GMT 2024","1480","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Mon Jul 29 23:35:21 GMT 2024","Mon Jul 29 23:35:23 GMT 2024","1455","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
