"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 20:12:39 GMT 2024","Sun Jul 21 20:12:41 GMT 2024","1858","chromium","","Navigation","","","test",""
"passed","Sun Jul 21 20:12:55 GMT 2024","Sun Jul 21 20:12:57 GMT 2024","1656","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain",""
"passed","Sun Jul 21 20:12:57 GMT 2024","Sun Jul 21 20:12:59 GMT 2024","1713","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email",""
"passed","Sun Jul 21 20:13:00 GMT 2024","Sun Jul 21 20:13:02 GMT 2024","1593","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field",""
"passed","Sun Jul 21 20:12:42 GMT 2024","Sun Jul 21 20:12:49 GMT 2024","6421","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @",""
"passed","Sun Jul 21 20:12:41 GMT 2024","Sun Jul 21 20:12:42 GMT 2024","1475","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Sun Jul 21 20:12:49 GMT 2024","Sun Jul 21 20:12:55 GMT 2024","6396","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain",""
"passed","Sun Jul 21 20:12:59 GMT 2024","Sun Jul 21 20:13:00 GMT 2024","1650","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain",""
