"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 03:58:59 GMT 2024","Fri Jul 26 03:59:25 GMT 2024","25807","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Fri Jul 26 03:58:51 GMT 2024","Fri Jul 26 03:58:59 GMT 2024","8396","chromium","","Negative tests for Authorization process","","","SP-13/SP-7/01 | Verify non-successful authorization of Business user in case of empty ""Email Address"" field","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Fri Jul 26 03:59:25 GMT 2024","Fri Jul 26 03:59:26 GMT 2024","1449","chromium","","Navigation","","","test",""
