"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 15 22:22:08 GMT 2024","Thu Aug 15 22:23:08 GMT 2024","60281","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"failed","Thu Aug 15 23:04:59 GMT 2024","Thu Aug 15 23:05:05 GMT 2024","6630","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Space in the password","Verify non-successful registration of Free user in case of invalid password"
"failed","Thu Aug 15 23:02:44 GMT 2024","Thu Aug 15 23:02:50 GMT 2024","6497","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"failed","Thu Aug 15 22:52:29 GMT 2024","Thu Aug 15 22:53:01 GMT 2024","31758","chromium","","Negative tests for User's profile settings","","","SP15/SP9/1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"failed","Thu Aug 15 23:03:32 GMT 2024","Thu Aug 15 23:03:39 GMT 2024","6482","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No uppercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"broken","Thu Aug 15 22:15:58 GMT 2024","Thu Aug 15 22:16:59 GMT 2024","60290","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Thu Aug 15 23:16:14 GMT 2024","Thu Aug 15 23:16:50 GMT 2024","36313","chromium","","Negative tests for Business user Registration","","","SP11/SP6/03 | Verify non-successful registration of Business user in case of expired Confirm Code","To verify Business user can not register in case of expired Confirm Code."
"failed","Thu Aug 15 22:47:34 GMT 2024","Thu Aug 15 22:48:04 GMT 2024","29477","chromium","","Negative tests for User's profile settings","","","SP15/SP9/1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Thu Aug 15 23:19:21 GMT 2024","Thu Aug 15 23:20:27 GMT 2024","65214","chromium","","Teams API","","","SP25/SP53/1 | Verify if a business user can upgrade ""User"" team member to ""Admin"": API, DB","Verify if a business user can upgrade ""User"" team member to ""Admin"": API, DB"
"passed","Thu Aug 15 23:13:19 GMT 2024","Thu Aug 15 23:13:49 GMT 2024","29227","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with CVV that contanes only 2 digits","Verify user cannot activate Trial period without CVV"
