"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 22:14:41 GMT 2024","Sun Jul 28 22:15:37 GMT 2024","56436","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Sun Jul 28 22:16:34 GMT 2024","Sun Jul 28 22:17:30 GMT 2024","56301","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Empty password field","Verify non-successful registration of Free user in case of invalid password"
"passed","Sun Jul 28 22:09:02 GMT 2024","Sun Jul 28 22:09:59 GMT 2024","56318","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"failed","Sun Jul 28 22:17:46 GMT 2024","Sun Jul 28 22:17:52 GMT 2024","6513","chromium","","Negative tests for Free user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Full Name on Card field","To verify Business user can not register in case of Empty Full Name on Card field."
"passed","Sun Jul 28 22:04:21 GMT 2024","Sun Jul 28 22:05:17 GMT 2024","56335","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @","Verify non-successful registration of Free user in case of invalid email"
"passed","Sun Jul 28 22:07:10 GMT 2024","Sun Jul 28 22:08:06 GMT 2024","56281","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email","Verify non-successful registration of Free user in case of invalid email"
"failed","Sun Jul 28 22:40:49 GMT 2024","Sun Jul 28 22:41:01 GMT 2024","12210","chromium","","Negative tests for Trial user registration","","","SP11/SP1/4 | Verify user cannot activate Trial period with incomplete expiration date","Verify user cannot activate Trial period with incomplete expiration date"
"passed","Sun Jul 28 22:12:48 GMT 2024","Sun Jul 28 22:13:45 GMT 2024","56638","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No digits in the password","Verify non-successful registration of Free user in case of invalid password"
"broken","Sun Jul 28 22:26:35 GMT 2024","Sun Jul 28 22:27:35 GMT 2024","60326","chromium","","Negative tests for Trial user registration","","","SP11/SP1/3 | Verify user cannot activate Trial period with empty card number","Verify user cannot activate Trial period without adding CVV"
"passed","Sun Jul 28 21:55:47 GMT 2024","Sun Jul 28 21:55:55 GMT 2024","7914","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty username","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"broken","Sun Jul 28 22:02:16 GMT 2024","Sun Jul 28 22:03:23 GMT 2024","67153","chromium","","API tests for User's profile settings","","","SP15/SP34/API1 | Verify Free User’s password update via API",""
"passed","Sun Jul 28 22:03:24 GMT 2024","Sun Jul 28 22:04:21 GMT 2024","57025","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"failed","Sun Jul 28 22:35:39 GMT 2024","Sun Jul 28 22:35:45 GMT 2024","6304","chromium","","Negative tests for Trial user registration","","","SP11/SP6/03 | Verify non-successful registration of Business user in case of expired Confirm Code","To verify Business user can not register in case of expired Confirm Code."
"passed","Sun Jul 28 21:58:18 GMT 2024","Sun Jul 28 21:58:46 GMT 2024","28288","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Space in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Sun Jul 28 21:57:04 GMT 2024","Sun Jul 28 21:57:29 GMT 2024","24296","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Sun Jul 28 21:56:07 GMT 2024","Sun Jul 28 21:56:21 GMT 2024","13620","chromium","","Folders in case of FREE User","","","TC_06_24_01 | Verify the Free user can delete folder.","To verify Free user can delete the folder."
