"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 18 06:02:36 GMT 2024","Sun Aug 18 06:02:40 GMT 2024","3812","chromium","","Teams API > Team with FREE User","","","TC_09_38_01 | Verify FREE user is not able add Admin team member.","To verify Free user is not able add Admin team member."
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of leading space in Confirm Code",""
"skipped","Sun Aug 18 05:50:49 GMT 2024","Sun Aug 18 05:50:49 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email",""
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password contains ciryllic symbol",""
"passed","Sun Aug 18 05:58:52 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","23000","chromium","","API tests for User's profile settings","","","SP15/SP75/1 Update Company data via API: Update redirectionPage","Update Company data via API: Update redirectionPage"
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/2 | Verify user cannot activate Trial period without adding Zip Code",""
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with CVV that contanes only 2 digits",""
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/4 | Verify user cannot activate Trial period with expired expiration date",""
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No digits in the password",""
"passed","Sun Aug 18 06:02:57 GMT 2024","Sun Aug 18 06:03:14 GMT 2024","16723","chromium","","Technical tests API","","","SP65/SP74/1 Get Company Info by ID (API test)","Get Company info via API"
"passed","Sun Aug 18 05:56:54 GMT 2024","Sun Aug 18 05:57:16 GMT 2024","22442","chromium","","API tests for User's profile settings","","","SP15/SP75/1 Update Company data via API: Update companyName","Update Company data via API: Update companyName"
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain",""
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with CVV that contanes only 1 digit",""
"skipped","Sun Aug 18 05:50:49 GMT 2024","Sun Aug 18 05:50:49 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain",""
"passed","Sun Aug 18 06:02:28 GMT 2024","Sun Aug 18 06:02:36 GMT 2024","8006","chromium","","Teams API > Team with FREE User","","","TC_09_38_01 | Verify FREE user is not able add User team member.","To verify Free user is not able add User team member."
"skipped","Sun Aug 18 05:50:49 GMT 2024","Sun Aug 18 05:50:49 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.",""
"passed","Sun Aug 18 05:50:50 GMT 2024","Sun Aug 18 05:50:51 GMT 2024","498","chromium","","API Autorization","","","SP13/SP56 | Sign in Business user via API call and verify response code is successful","To verify successful authorization via API call."
"passed","Sun Aug 18 05:54:11 GMT 2024","Sun Aug 18 05:54:15 GMT 2024","3549","chromium","","API tests for User's profile settings","","","SP15/SP63/1 Update User data via API: Update billing Details","Update User data via API: Update billing Details"
"passed","Sun Aug 18 05:52:15 GMT 2024","Sun Aug 18 05:52:38 GMT 2024","23694","chromium","","Forms via API","","","SP24/SP54/1 | Form draft creation via API","To verify successful form creation via API call."
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/3 | Verify user cannot activate Trial period with incomplete card number",""
"passed","Sun Aug 18 05:54:02 GMT 2024","Sun Aug 18 05:54:11 GMT 2024","9485","chromium","","API tests for User's profile settings","","","SP15/SP63/1 Update User data via API: Update name","Update User data via API: Update name"
"passed","Sun Aug 18 06:03:49 GMT 2024","Sun Aug 18 06:04:11 GMT 2024","21740","chromium","","Negative tests for Templates Options","","","SP27/SP52/1 | Verify if user can not create the template with `live` status missing Uploded File.","To verify user can not create a new template in the system successfully (with `live` status) when the ""File"" has not been uploaded."
"skipped","Sun Aug 18 05:59:15 GMT 2024","Sun Aug 18 05:59:15 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain",""
