"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 00:59:52 GMT 2024","Wed Jul 31 00:59:59 GMT 2024","6569","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify FREE user is able to create folder","To verify Free user is able to create folder."
"passed","Wed Jul 31 01:04:41 GMT 2024","Wed Jul 31 01:04:43 GMT 2024","1404","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Space in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:04:38 GMT 2024","Wed Jul 31 01:04:40 GMT 2024","1432","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password less than 8 characters long","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 00:59:46 GMT 2024","Wed Jul 31 00:59:52 GMT 2024","6012","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Wed Jul 31 01:05:04 GMT 2024","Wed Jul 31 01:05:26 GMT 2024","22189","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/2 | Verify user cannot activate Trial period without adding Zip Code","Verify user cannot activate Trial period without adding Zip Code"
"passed","Wed Jul 31 01:04:21 GMT 2024","Wed Jul 31 01:04:23 GMT 2024","1660","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:00:52 GMT 2024","Wed Jul 31 01:01:16 GMT 2024","24378","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 01:00:45 GMT 2024","Wed Jul 31 01:00:51 GMT 2024","5350","chromium","","Forms in case of FREE User","","","TC_08_32_01 | Verify Free user can not create form.","To verify that Free user can not create form."
"passed","Wed Jul 31 01:07:20 GMT 2024","Wed Jul 31 01:07:48 GMT 2024","28600","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/4 | Verify user cannot activate Trial period with incomplete expiration date","Verify user cannot activate Trial period with invalid card number"
"passed","Wed Jul 31 01:04:45 GMT 2024","Wed Jul 31 01:04:47 GMT 2024","1401","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Empty password field","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:10:05 GMT 2024","Wed Jul 31 01:10:15 GMT 2024","9570","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of Empty Confirm Code field","To verify Business user can not register because ""Send"" button is disabled in case of Empty Confirm Code field."
"passed","Wed Jul 31 01:04:44 GMT 2024","Wed Jul 31 01:04:45 GMT 2024","1322","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password contains ciryllic symbol","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:04:32 GMT 2024","Wed Jul 31 01:04:33 GMT 2024","1456","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:09:51 GMT 2024","Wed Jul 31 01:09:58 GMT 2024","7191","chromium","","Negative tests for Business user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Full Name on Card field","To verify Business user can not register in case of Empty Full Name on Card field."
"passed","Wed Jul 31 00:59:38 GMT 2024","Wed Jul 31 00:59:44 GMT 2024","6373","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 01:14:07 GMT 2024","Wed Jul 31 01:14:54 GMT 2024","47007","chromium","","Negative tests for Templates Options","","","SP27/SP37/1 | Verify if user can not create the template with `live` status missing Role Field.","To verify user can not create a new template in the system successfully (with `live` status) when the ""Role"" field is not filled."
"passed","Wed Jul 31 01:13:16 GMT 2024","Wed Jul 31 01:14:07 GMT 2024","50644","chromium","","Teams API","","","SP25/SP35/API1 | Verify if a business user can add team member with role Admin user via API","Verify if a business user can add team member via API"
"passed","Wed Jul 31 01:08:53 GMT 2024","Wed Jul 31 01:09:22 GMT 2024","29076","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with CVV that contanes only 1 digit","Verify user cannot activate Trial period without CVV"
"passed","Wed Jul 31 01:11:06 GMT 2024","Wed Jul 31 01:11:37 GMT 2024","30700","chromium","","Negative tests for Business user Registration","","","SP11/SP6/03 | Verify non-successful registration of Business user in case of expired Confirm Code","To verify Business user can not register in case of expired Confirm Code."
"passed","Wed Jul 31 01:09:58 GMT 2024","Wed Jul 31 01:10:05 GMT 2024","7091","chromium","","Negative tests for Business user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Zip Code field","To verify Business user can not register in case of Empty Zip Code field."
"passed","Wed Jul 31 01:00:21 GMT 2024","Wed Jul 31 01:00:45 GMT 2024","24065","chromium","","Folders in case of FREE User","","","SP22/SP46/1 | Verify FREE user is able to rename folder.","To verify Free user is able to rename folder."
"passed","Wed Jul 31 01:14:54 GMT 2024","Wed Jul 31 01:14:59 GMT 2024","4953","chromium","","Templates in case of FREE User","","","TC_07_27_01 | Verify Free user is unable to create the template.","To verify Free user is unable to create a template. The user is prompted to upgrade after attempting to upload a file."
"passed","Wed Jul 31 01:03:45 GMT 2024","Wed Jul 31 01:04:10 GMT 2024","24626","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N2 | Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input","Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input"
"passed","Wed Jul 31 01:12:30 GMT 2024","Wed Jul 31 01:13:16 GMT 2024","46147","chromium","","Teams API","","","SP25/SP35/API1 | Verify if a business user can add team member with role User user via API","Verify if a business user can add team member via API"
"passed","Wed Jul 31 01:04:23 GMT 2024","Wed Jul 31 01:04:24 GMT 2024","1364","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:10:15 GMT 2024","Wed Jul 31 01:10:25 GMT 2024","9676","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of Invalid Confirm Code","To verify Business user can not register because ""Send"" button is disabled in case of Invalid Confirm Code."
"passed","Wed Jul 31 00:59:45 GMT 2024","Wed Jul 31 00:59:46 GMT 2024","1076","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 01:06:52 GMT 2024","Wed Jul 31 01:07:20 GMT 2024","27476","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/4 | Verify user cannot activate Trial period with empty expiration date","Verify user cannot activate Trial period with invalid card number"
"passed","Wed Jul 31 01:01:40 GMT 2024","Wed Jul 31 01:02:06 GMT 2024","25546","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password less than 8 characters long","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 00:59:59 GMT 2024","Wed Jul 31 01:00:21 GMT 2024","22228","chromium","","Folders in case of FREE User","","","SP22/SP47/1 | Verify FREE user is able to delete folder","To verify Free user is able to delete the folder."
"passed","Wed Jul 31 00:59:32 GMT 2024","Wed Jul 31 00:59:34 GMT 2024","1813","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.","To verify non-successful authorization of Business user in case of invalid Email Address and valid Password."
"passed","Wed Jul 31 01:05:55 GMT 2024","Wed Jul 31 01:06:23 GMT 2024","28623","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/3 | Verify user cannot activate Trial period with incomplete card number","Verify user cannot activate Trial period with invalid card number"
"passed","Wed Jul 31 01:03:21 GMT 2024","Wed Jul 31 01:03:45 GMT 2024","24366","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password contains ciryllic symbol","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 00:59:36 GMT 2024","Wed Jul 31 00:59:38 GMT 2024","1270","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 01:11:37 GMT 2024","Wed Jul 31 01:12:05 GMT 2024","28529","chromium","","Negative tests for Settings Company","","","SP26/SP30/1 | Verify the creation of a company profile fails when the entered Company Name exceeds 99 characters.","To verify that the creation of a company profile fails when the entered Company Name exceeds 99 characters."
"passed","Wed Jul 31 01:02:54 GMT 2024","Wed Jul 31 01:03:21 GMT 2024","26696","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No special symbols in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 01:00:51 GMT 2024","Wed Jul 31 01:00:52 GMT 2024","1248","chromium","","Navigation","","","test",""
"passed","Wed Jul 31 01:01:16 GMT 2024","Wed Jul 31 01:01:40 GMT 2024","24065","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 01:04:43 GMT 2024","Wed Jul 31 01:04:44 GMT 2024","1516","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:04:35 GMT 2024","Wed Jul 31 01:04:36 GMT 2024","1349","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No lowercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:06:23 GMT 2024","Wed Jul 31 01:06:52 GMT 2024","28867","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/3 | Verify user cannot activate Trial period with invalid card number","Verify user cannot activate Trial period with invalid card number"
"passed","Wed Jul 31 01:04:40 GMT 2024","Wed Jul 31 01:04:41 GMT 2024","1569","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No digits in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:02:06 GMT 2024","Wed Jul 31 01:02:29 GMT 2024","23697","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 00:59:20 GMT 2024","Wed Jul 31 00:59:32 GMT 2024","12059","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Wed Jul 31 01:10:46 GMT 2024","Wed Jul 31 01:11:06 GMT 2024","20080","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of trailing space in Confirm Code","To verify Business user can not register because ""Send"" button is disabled in case of trailing space in Confirm Code."
"passed","Wed Jul 31 01:04:47 GMT 2024","Wed Jul 31 01:05:04 GMT 2024","16998","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/1 | Verify user cannot activate Trial period adding only name on Credit Card","Verify user cannot activate Trial period adding only name on Credit Card"
"passed","Wed Jul 31 01:09:22 GMT 2024","Wed Jul 31 01:09:51 GMT 2024","28848","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with CVV that contanes only 2 digits","Verify user cannot activate Trial period without CVV"
"passed","Wed Jul 31 01:08:17 GMT 2024","Wed Jul 31 01:08:45 GMT 2024","28587","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/5 | Verify user cannot activate Trial period with empty CVV field","Verify user cannot activate Trial period without CVV"
"passed","Wed Jul 31 00:59:35 GMT 2024","Wed Jul 31 00:59:36 GMT 2024","1198","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 01:04:20 GMT 2024","Wed Jul 31 01:04:21 GMT 2024","1820","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Wed Jul 31 00:59:44 GMT 2024","Wed Jul 31 00:59:45 GMT 2024","1362","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 00:59:34 GMT 2024","Wed Jul 31 00:59:35 GMT 2024","1438","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Wed Jul 31 01:12:05 GMT 2024","Wed Jul 31 01:12:30 GMT 2024","24772","chromium","","Negative tests for Settings Company","","","SP26/SP36/1 | Verify the field of Redirection Page is disabled if not select checkbox to 
Activate custom redirection page","Verify that the Redirection Page field is disabled if the 'Activate custom redirection page' checkbox is not selected. 
            If the checkbox is not selected, creating a company profile will fail. 
            If the checkbox is selected, the Redirection Page is enabled for input and the company profile will be created successfully."
"passed","Wed Jul 31 01:04:24 GMT 2024","Wed Jul 31 01:04:26 GMT 2024","1330","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:07:48 GMT 2024","Wed Jul 31 01:08:17 GMT 2024","28576","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/4 | Verify user cannot activate Trial period with expired expiration date","Verify user cannot activate Trial period with invalid card number"
"passed","Wed Jul 31 01:02:29 GMT 2024","Wed Jul 31 01:02:54 GMT 2024","24804","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Space in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Wed Jul 31 01:04:33 GMT 2024","Wed Jul 31 01:04:35 GMT 2024","1242","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:10:25 GMT 2024","Wed Jul 31 01:10:46 GMT 2024","21378","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of leading space in Confirm Code","To verify Business user can not register because ""Send"" button is disabled in case of leading space in Confirm Code."
"passed","Wed Jul 31 01:04:26 GMT 2024","Wed Jul 31 01:04:32 GMT 2024","6101","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email","Verify non-successful registration of Free user in case of invalid email"
"passed","Wed Jul 31 01:04:36 GMT 2024","Wed Jul 31 01:04:38 GMT 2024","2219","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No uppercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Wed Jul 31 01:04:10 GMT 2024","Wed Jul 31 01:04:20 GMT 2024","9636","chromium","","API tests for User's profile settings","","","SP15/SP34/API1 | Verify Free User’s password update via API","Verify a ""New password"" input field error message while trying to update a password with invalid data"
