"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Space in the password",""
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Business user Registration","","","SP11/SP6/02 | Verify non-successful registration of Business user in case of Empty Confirm Code field",""
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Business user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Zip Code field",""
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","1","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No lowercase letter in the password",""
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain",""
"passed","Fri Aug 16 01:01:42 GMT 2024","Fri Aug 16 01:02:05 GMT 2024","22806","chromium","","Folders in case of FREE User","","","SP22/SP46/1 | Verify FREE user is able to move folder to foler.","To verify Free user is able to move folder to foler."
"failed","Fri Aug 16 01:00:41 GMT 2024","Fri Aug 16 01:00:48 GMT 2024","6425","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Fri Aug 16 01:00:50 GMT 2024","Fri Aug 16 01:00:50 GMT 2024","339","chromium","","API Autorization","","","SP13/SP66/1 | API Sign in with invalid password","To verify not successful authorization via API call."
"passed","Fri Aug 16 01:07:39 GMT 2024","Fri Aug 16 01:08:19 GMT 2024","39623","chromium","","Negative tests for Templates Options","","","SP27/SP37/1 | Verify if user can not create the template with `live` status missing Role Field.","To verify user can not create a new template in the system successfully (with `live` status) when the ""Role"" field is not filled."
"passed","Fri Aug 16 01:03:34 GMT 2024","Fri Aug 16 01:03:35 GMT 2024","1144","chromium","","Navigation","","","test",""
"passed","Fri Aug 16 01:02:05 GMT 2024","Fri Aug 16 01:02:10 GMT 2024","4782","chromium","","Forms in case of FREE User","","","TC_08_32_01 | Verify Free user is not able create form.","To verify that Free user can not create form."
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Trial user Registration","","","SP11/SP1/3 | Verify user cannot activate Trial period with empty card number",""
"passed","Fri Aug 16 01:00:56 GMT 2024","Fri Aug 16 01:01:01 GMT 2024","5101","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify FREE user is able to create folder","To verify Free user is able to create folder."
"skipped","Fri Aug 16 01:03:41 GMT 2024","Fri Aug 16 01:03:41 GMT 2024","0","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password",""
