"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 10 16:51:43 GMT 2024","Sat Aug 10 16:51:43 GMT 2024","534","chromium","","API Autorization","","","SP13/SP56 | Sign in Business user via API call and verify response code is successful","To verify successful authorization via API call."
"passed","Sat Aug 10 16:51:58 GMT 2024","Sat Aug 10 16:52:11 GMT 2024","13547","chromium","","Folders in case of FREE User","","","SP22/SP47/1 | Verify FREE user is able to delete folder","To verify Free user is able to delete the folder."
"passed","Sat Aug 10 16:51:39 GMT 2024","Sat Aug 10 16:51:40 GMT 2024","1156","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:40 GMT 2024","Sat Aug 10 16:51:41 GMT 2024","1307","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:30 GMT 2024","Sat Aug 10 16:51:36 GMT 2024","6227","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:41 GMT 2024","Sat Aug 10 16:51:43 GMT 2024","1320","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:24 GMT 2024","Sat Aug 10 16:51:30 GMT 2024","6415","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.","To verify non-successful authorization of Business user in case of invalid Email Address and valid Password."
"passed","Sat Aug 10 16:51:53 GMT 2024","Sat Aug 10 16:51:58 GMT 2024","4487","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify FREE user is able to create folder","To verify Free user is able to create folder."
"passed","Sat Aug 10 16:51:21 GMT 2024","Sat Aug 10 16:51:24 GMT 2024","2404","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Sat Aug 10 16:51:43 GMT 2024","Sat Aug 10 16:51:43 GMT 2024","327","chromium","","API Autorization","","","SP13/SP66/1 | API Sign in with invalid password","To verify not successful authorization via API call."
"passed","Sat Aug 10 16:51:44 GMT 2024","Sat Aug 10 16:51:53 GMT 2024","9539","chromium","","Folder API","","","SP22/SP33/1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Sat Aug 10 16:51:36 GMT 2024","Sat Aug 10 16:51:38 GMT 2024","1119","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:38 GMT 2024","Sat Aug 10 16:51:39 GMT 2024","1283","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Sat Aug 10 16:51:43 GMT 2024","Sat Aug 10 16:51:44 GMT 2024","168","chromium","","API Autorization","","","SP13/SP67/1 | API Sign in with invalid login","To verify not successful authorization via API call."
