"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.",""
"passed","Sun Aug 18 00:38:19 GMT 2024","Sun Aug 18 00:38:19 GMT 2024","494","chromium","","API Autorization","","","SP13/SP66/1 | API Sign in with invalid password","To verify not successful authorization via API call."
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @",""
"passed","Sun Aug 18 00:38:27 GMT 2024","Sun Aug 18 00:38:41 GMT 2024","13899","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify FREE user is able to create folder","To verify Free user is able to create folder."
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain",""
"passed","Sun Aug 18 00:38:20 GMT 2024","Sun Aug 18 00:38:27 GMT 2024","7725","chromium","","Folder API","","","SP22/SP33/1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Sun Aug 18 00:38:19 GMT 2024","Sun Aug 18 00:38:20 GMT 2024","283","chromium","","API Autorization","","","SP13/SP67/1 | API Sign in with invalid login","To verify not successful authorization via API call."
"passed","Sun Aug 18 00:38:18 GMT 2024","Sun Aug 18 00:38:19 GMT 2024","664","chromium","","API Autorization","","","SP13/SP56 | Sign in Business user via API call and verify response code is successful","To verify successful authorization via API call."
"passed","Sun Aug 18 00:38:41 GMT 2024","Sun Aug 18 00:38:59 GMT 2024","18046","chromium","","Folders in case of FREE User","","","SP22/SP47/1 | Verify FREE user is able to delete folder","To verify Free user is able to delete the folder."
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field",""
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain",""
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","2","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address",""
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email",""
"skipped","Sun Aug 18 00:38:17 GMT 2024","Sun Aug 18 00:38:17 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain",""
