"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain",""
"passed","Fri Aug 16 01:14:48 GMT 2024","Fri Aug 16 01:14:54 GMT 2024","5214","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify FREE user is able to create folder","To verify Free user is able to create folder."
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field",""
"passed","Fri Aug 16 01:14:36 GMT 2024","Fri Aug 16 01:14:48 GMT 2024","12733","chromium","","Folder API","","","SP22/SP33/1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Fri Aug 16 01:14:54 GMT 2024","Fri Aug 16 01:15:12 GMT 2024","18387","chromium","","Folders in case of FREE User","","","SP22/SP47/1 | Verify FREE user is able to delete folder","To verify Free user is able to delete the folder."
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain",""
"passed","Fri Aug 16 01:14:35 GMT 2024","Fri Aug 16 01:14:35 GMT 2024","656","chromium","","API Autorization","","","SP13/SP56 | Sign in Business user via API call and verify response code is successful","To verify successful authorization via API call."
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.",""
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @",""
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","2","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address",""
"passed","Fri Aug 16 01:14:35 GMT 2024","Fri Aug 16 01:14:36 GMT 2024","273","chromium","","API Autorization","","","SP13/SP66/1 | API Sign in with invalid password","To verify not successful authorization via API call."
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","0","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain",""
"passed","Fri Aug 16 01:15:12 GMT 2024","Fri Aug 16 01:15:32 GMT 2024","19461","chromium","","Folders in case of FREE User","","","SP22/SP46/1 | Verify FREE user is able to rename folder.","To verify Free user is able to rename folder."
"skipped","Fri Aug 16 01:14:33 GMT 2024","Fri Aug 16 01:14:33 GMT 2024","1","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email",""
"passed","Fri Aug 16 01:14:36 GMT 2024","Fri Aug 16 01:14:36 GMT 2024","112","chromium","","API Autorization","","","SP13/SP67/1 | API Sign in with invalid login","To verify not successful authorization via API call."
