"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 30 18:33:28 GMT 2024","Tue Jul 30 18:33:35 GMT 2024","7062","chromium","","Folders in case of FREE User","","","SP22/SP42/1 | Verify Free user can create folder.","To verify Free user can create folder."
"passed","Tue Jul 30 18:33:53 GMT 2024","Tue Jul 30 18:33:57 GMT 2024","4512","chromium","","Forms in case of FREE User","","","TC_08_32_01 | Verify Free user can not create form.","To verify that Free user can not create form."
"passed","Tue Jul 30 18:33:59 GMT 2024","Tue Jul 30 18:34:24 GMT 2024","25207","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"failed","Tue Jul 30 18:33:02 GMT 2024","Tue Jul 30 18:33:02 GMT 2024","354","chromium","","Negative tests for Authorization process","","","SP13/SP7/2 | Verify failed login with invalid email and valid password.","To verify non-successful authorization of Business user in case of invalid Email Address and valid Password."
"passed","Tue Jul 30 18:34:24 GMT 2024","Tue Jul 30 18:34:49 GMT 2024","24685","chromium","","Negative tests for User's profile settings","","","SP15/SP9/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"failed","Tue Jul 30 18:32:57 GMT 2024","Tue Jul 30 18:32:57 GMT 2024","334","chromium","","Negative tests for Authorization process","","","SP13/SP7/1 | Verify submitting the login form with a valid password but an empty email address","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Tue Jul 30 18:33:15 GMT 2024","Tue Jul 30 18:33:16 GMT 2024","1334","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space after domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Tue Jul 30 18:33:16 GMT 2024","Tue Jul 30 18:33:18 GMT 2024","1364","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: empty field","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Tue Jul 30 18:33:04 GMT 2024","Tue Jul 30 18:33:06 GMT 2024","1989","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without @","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Tue Jul 30 18:33:57 GMT 2024","Tue Jul 30 18:33:59 GMT 2024","1298","chromium","","Navigation","","","test",""
"passed","Tue Jul 30 18:33:18 GMT 2024","Tue Jul 30 18:33:28 GMT 2024","9945","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Tue Jul 30 18:33:35 GMT 2024","Tue Jul 30 18:33:53 GMT 2024","18348","chromium","","Folders in case of FREE User","","","TC_06_24_01 | Verify the Free user can delete folder.","To verify Free user can delete the folder."
"passed","Tue Jul 30 18:33:13 GMT 2024","Tue Jul 30 18:33:15 GMT 2024","1415","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: space before email","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Tue Jul 30 18:33:12 GMT 2024","Tue Jul 30 18:33:13 GMT 2024","1466","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: invalid domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
"passed","Tue Jul 30 18:33:06 GMT 2024","Tue Jul 30 18:33:12 GMT 2024","6312","chromium","","Negative tests for Authorization process","","","SP13/SP7/3,4,5,6,7 | Verify non-successful authorization of Business user in case of invalid email: without domain","To verify non-successful authorization of Business user in case of invalid email address without @, without domain, invalid domain, space before and after email, empty field."
