"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 18 22:04:45 GMT 2024","Sun Aug 18 22:05:45 GMT 2024","60068","chromium","","API Autorization","","","SP13/SP56 | Sign in Business user via API call and verify response code is successful","To verify successful authorization via API call."
"broken","Sun Aug 18 22:10:53 GMT 2024","Sun Aug 18 22:11:53 GMT 2024","60059","chromium","","API Autorization","","","SP13/SP67/1 | API Sign in with invalid login","To verify not successful authorization via API call."
"broken","Sun Aug 18 22:07:49 GMT 2024","Sun Aug 18 22:08:49 GMT 2024","60067","chromium","","API Autorization","","","SP13/SP66/1 | API Sign in with invalid password","To verify not successful authorization via API call."
"broken","Sun Aug 18 22:11:54 GMT 2024","Sun Aug 18 22:13:02 GMT 2024","67609","chromium","","Folder API","","","SP22/SP33/1 | Verify if a new folder has been created via API",""
