"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 16:58:48 GMT 2024","Fri Jul 26 16:58:55 GMT 2024","6450","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:59:15 GMT 2024","Fri Jul 26 16:59:22 GMT 2024","6722","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No digits in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:59:45 GMT 2024","Fri Jul 26 16:59:52 GMT 2024","6996","chromium","","Negative tests for Free user Registration","","","SP11/SP6/01 | Verify non-successful registration of Business user in case of Empty Zip Code field","To verify Business user can not register in case of Empty Zip Code field."
"passed","Fri Jul 26 16:58:21 GMT 2024","Fri Jul 26 16:58:45 GMT 2024","24340","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N2 | Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input","Verify an error message when ""New password"" input doesn't match ""Repeat new Password"" input"
"passed","Fri Jul 26 16:58:45 GMT 2024","Fri Jul 26 16:58:47 GMT 2024","1403","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Fri Jul 26 16:57:35 GMT 2024","Fri Jul 26 16:57:58 GMT 2024","23026","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No special symbols in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:55:08 GMT 2024","Fri Jul 26 16:55:35 GMT 2024","26514","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Fri Jul 26 16:59:23 GMT 2024","Fri Jul 26 16:59:24 GMT 2024","1288","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:56:00 GMT 2024","Fri Jul 26 16:56:25 GMT 2024","24152","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:59:31 GMT 2024","Fri Jul 26 16:59:38 GMT 2024","6763","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Empty password field","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:59:52 GMT 2024","Fri Jul 26 17:00:26 GMT 2024","33987","chromium","","Negative tests for Trial user registration","","","SP11/SP1/1 | Verify user cannot activate Trial period adding only name on Credit Card","Verify user cannot activate Trial period adding only name on Credit Card"
"passed","Fri Jul 26 16:55:36 GMT 2024","Fri Jul 26 16:56:00 GMT 2024","24672","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:59:03 GMT 2024","Fri Jul 26 16:59:04 GMT 2024","1330","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:57:12 GMT 2024","Fri Jul 26 16:57:35 GMT 2024","23103","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Space in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:58:47 GMT 2024","Fri Jul 26 16:58:48 GMT 2024","1299","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:59:22 GMT 2024","Fri Jul 26 16:59:23 GMT 2024","1346","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Space in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:55:35 GMT 2024","Fri Jul 26 16:55:36 GMT 2024","1234","chromium","","Navigation","","","test",""
"passed","Fri Jul 26 17:00:49 GMT 2024","Fri Jul 26 17:01:24 GMT 2024","34143","chromium","","Negative tests for Settings Company","","","SP26/SP30/2 | Verify the field of Redirection Page is disabled if not select checkbox to 
Activate custom redirection page","Verify the field of Redirection Page is disabled if not select checkbox to Activate custom redirection page"
"passed","Fri Jul 26 16:54:55 GMT 2024","Fri Jul 26 16:55:08 GMT 2024","12773","chromium","","Negative tests for Authorization process","","","SP-13/SP-7/01 | Verify non-successful authorization of Business user in case of empty ""Email Address"" field","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Fri Jul 26 16:58:55 GMT 2024","Fri Jul 26 16:58:56 GMT 2024","1636","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:59:05 GMT 2024","Fri Jul 26 16:59:07 GMT 2024","1389","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No lowercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:57:58 GMT 2024","Fri Jul 26 16:58:21 GMT 2024","23379","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password contains ciryllic symbol","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:58:56 GMT 2024","Fri Jul 26 16:59:03 GMT 2024","6393","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:56:25 GMT 2024","Fri Jul 26 16:56:48 GMT 2024","23335","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password less than 8 characters long","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 16:59:13 GMT 2024","Fri Jul 26 16:59:15 GMT 2024","1407","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password less than 8 characters long","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 16:59:04 GMT 2024","Fri Jul 26 16:59:05 GMT 2024","1270","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 16:56:48 GMT 2024","Fri Jul 26 16:57:12 GMT 2024","23697","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
