"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 26 03:51:43 GMT 2024","Fri Jul 26 03:51:44 GMT 2024","331","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No special symbols in the password","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:51:19 GMT 2024","Fri Jul 26 03:51:20 GMT 2024","314","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No lowercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:51:53 GMT 2024","Fri Jul 26 03:51:53 GMT 2024","325","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Empty password field","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:50:45 GMT 2024","Fri Jul 26 03:50:46 GMT 2024","315","chromium","","Negative tests for Free user Registration","","","SP11/SP2/1 | Verify non-successful registration of Free user in case of empty name field","Verify non-successful registration of Free user in case of empty name field."
"passed","Fri Jul 26 03:48:17 GMT 2024","Fri Jul 26 03:48:41 GMT 2024","23990","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password less than 8 characters long","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"failed","Fri Jul 26 03:51:00 GMT 2024","Fri Jul 26 03:51:00 GMT 2024","316","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: invalid domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 03:47:28 GMT 2024","Fri Jul 26 03:47:53 GMT 2024","24568","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No lowercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 03:48:41 GMT 2024","Fri Jul 26 03:49:05 GMT 2024","23781","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No digits in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 03:52:12 GMT 2024","Fri Jul 26 03:52:36 GMT 2024","24008","chromium","","Negative tests for Settings Company","","","SP26/SP30/1 | Verify the creation of a company profile fails when the entered Company Name exceeds 99 characters.","To verify that the creation of a company profile fails when the entered Company Name exceeds 99 characters."
"failed","Fri Jul 26 03:51:39 GMT 2024","Fri Jul 26 03:51:39 GMT 2024","348","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Space in the password","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:51:05 GMT 2024","Fri Jul 26 03:51:05 GMT 2024","325","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space before email","Verify non-successful registration of Free user in case of invalid email"
"failed","Fri Jul 26 03:51:48 GMT 2024","Fri Jul 26 03:51:49 GMT 2024","300","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password contains ciryllic symbol","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 03:47:01 GMT 2024","Fri Jul 26 03:47:27 GMT 2024","25860","chromium","","Folder API","","","SP22/SP33/API1 | Verify if a new folder has been created via API","Verify if a new folder has been created via API"
"passed","Fri Jul 26 03:49:29 GMT 2024","Fri Jul 26 03:49:53 GMT 2024","24366","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No special symbols in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"failed","Fri Jul 26 03:51:34 GMT 2024","Fri Jul 26 03:51:34 GMT 2024","325","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No digits in the password","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:51:24 GMT 2024","Fri Jul 26 03:51:24 GMT 2024","323","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: No uppercase letter in the password","Verify non-successful registration of Free user in case of invalid password"
"passed","Fri Jul 26 03:47:27 GMT 2024","Fri Jul 26 03:47:28 GMT 2024","1267","chromium","","Navigation","","","test",""
"failed","Fri Jul 26 03:51:29 GMT 2024","Fri Jul 26 03:51:29 GMT 2024","334","chromium","","Negative tests for Free user Registration","","","SP11/SP2/3 | Verify non-successful registration of Free user in case of invalid password: Password less than 8 characters long","Verify non-successful registration of Free user in case of invalid password"
"failed","Fri Jul 26 03:51:10 GMT 2024","Fri Jul 26 03:51:10 GMT 2024","306","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: space after domain","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 03:49:05 GMT 2024","Fri Jul 26 03:49:29 GMT 2024","23740","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Space in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 03:51:55 GMT 2024","Fri Jul 26 03:52:12 GMT 2024","17173","chromium","","Negative tests for Trial user regisctration","","","SP11/SP1/1 | Verify user cannot activate Trial period adding only name on Credit Card","Verify user cannot activate Trial period adding only name on Credit Card"
"passed","Fri Jul 26 03:52:36 GMT 2024","Fri Jul 26 03:53:00 GMT 2024","23885","chromium","","Negative tests for Settings Company","","","SP26/SP30/2 | Verify the field of Redirection Page is disabled if not select checkbox to 
Activate custom redirection page","Verify the field of Redirection Page is disabled if not select checkbox to Activate custom redirection page"
"failed","Fri Jul 26 03:50:50 GMT 2024","Fri Jul 26 03:50:51 GMT 2024","314","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without @","Verify non-successful registration of Free user in case of invalid email"
"failed","Fri Jul 26 03:50:55 GMT 2024","Fri Jul 26 03:50:55 GMT 2024","314","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: without domain","Verify non-successful registration of Free user in case of invalid email"
"failed","Fri Jul 26 03:51:15 GMT 2024","Fri Jul 26 03:51:15 GMT 2024","312","chromium","","Negative tests for Free user Registration","","","SP11/SP2/2 | Verify non-successful registration of Free user in case of invalid email: empty field","Verify non-successful registration of Free user in case of invalid email"
"passed","Fri Jul 26 03:46:54 GMT 2024","Fri Jul 26 03:47:01 GMT 2024","7098","chromium","","Negative tests for Authorization process","","","SP-13/SP-7/01 | Verify non-successful authorization of Business user in case of empty ""Email Address"" field","To verify non-successful authorization of Business user in case of empty ""Email Address"" field."
"passed","Fri Jul 26 03:47:53 GMT 2024","Fri Jul 26 03:48:17 GMT 2024","24450","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: No uppercase letter in the password","Verify a ""New password"" input field error message while trying to update a password with invalid data"
"passed","Fri Jul 26 03:49:53 GMT 2024","Fri Jul 26 03:50:17 GMT 2024","24412","chromium","","Negative tests for User's profile settings","","","SP15/SP12/N1 | Verify a ""New password"" input field error message while trying to update a password with invalid data: Password contains ciryllic symbol","Verify a ""New password"" input field error message while trying to update a password with invalid data"
